,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,
0,All,,,,,,,,,,,,,,,,,,,,,,All,All,,
1,All,,,,,,,,,,,,,,,,,,,,,,Run off road,Run off road,25,1
2,All,,,,,,,,,,,,,,,,,,,,,,Cross median,Cross median,300,2
3,All,,,,,,,,,,,,,,,,,,,,,,Fixed object,Fixed object,2300,3
4,All,,,,,,,,,,,,,,,,,,,,,,Rear end,Rear end,12650,4
5,All,,,,,,,,,,,,,,,,,,,,,,Speed related,Speed related,53130,5
6,All,,,,,,,,,,,,,,,,,,,,,,Truck related,Truck related,177100,6
7,All,,,,,,,,,,,,,,,,,,,,,,Wet road,Wet road,480700,7
8,All,,,,,,,,,,,,,,,,,,,,,,Nighttime,Nighttime,1081575,8
9,All,,,,,,,,,,,,,,,,,,,,,,Head on,Head on,2042975,9
10,All,,,,,,,,,,,,,,,,,,,,,,Vehicle/pedestrian,Vehicle/pedestrian,3268760,10
11,All,,,,,,,,,,,,,,,,,,,,,,Parking related,Parking related,4457400,11
12,All,,,,,,,,,,,,,,,,,,,,,,Single vehicle,Single vehicle,5200300,12
13,All,,,,,,,,,,,,,,,,,,,,,,Vehicle/bicycle,Vehicle/bicycle,5200300,13
14,All,,,,,,,,,,,,,,,,,,,,,,Angle,Angle,4457400,14
15,All,,,,,,,,,,,,,,,,,,,,,,Multiple vehicle,Multiple vehicle,3268760,15
16,All,,,,,,,,,,,,,,,,,,,,,,Left turn,Left turn,2042975,16
17,All,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,1081575,17
18,All,,,,,,,,,,,,,,,,,,,,,,Sideswipe,Sideswipe,480700,18
19,All,,,,,,,,,,,,,,,,,,,,,,Right turn,Right turn,177100,19
20,All,,,,,,,,,,,,,,,,,,,,,,Frontal and opposing direction sideswipe,Frontal and opposing direction sideswipe,53130,20
21,All,,,,,,,,,,,,,,,,,,,,,,Non-intersection,Non-intersection,12650,21
22,All,,,,,,,,,,,,,,,,,,,,,,Dry weather,Dry weather,2300,22
23,All,,,,,,,,,,,,,,,,,,,,,,Day time,Day time,300,23
24,All,,,,,,,,,,,,,,,,,,,,,,Other,Other,25,24
25,All,,,,,,,,,,,,,,,,,,,,,,Vehicle/animal,Vehicle/animal,1,25
26,All,,,,,,,,,,,,,,,,,,,,,,0,0," 33,554,431 ",
27,Run off road,,,,,,,,,,,,,,,,,,,,,,Single vehicle,,,
28,All,,,,,,,,,,,,,,,,,,,,,,Sideswipe,,,
29,All,,,,,,,,,,,,,,,,,,,,,,Left turn,,,
30,Run off road,,,,,,,,,,,,,,,,,,,,,,Vehicle/pedestrian,,,
31,All,,,,,,,,,,,,,,,,,,,,,,Nighttime,,,
32,All,,,,,,,,,,,,,,,,,,,,,,Other,,,
33,All,,,,,,,,,,,,,,,,,,,,,,Wet road,,,
34,All,,,,,,,,,,,,,,,,,,,,,,Fixed object,,,
35,All,,,,,,,,,,,,,,,,,,,,,,Run off road,,,
36,Run off road,,,,,,,,,,,,,,,,,,,,,,Frontal and opposing direction sideswipe,,,
37,Run off road,,,,,,,,,,,,,,,,,,,,,,Speed related,,,
38,Run off road,,,,,,,,,,,,,,,,,,,,,,Head on,,,
39,Run off road,,,,,,,,,,,,,,,,,,,,,,Non-intersection,,,
40,Run off road,,,,,,,,,,,,,,,,,,,,,,Rear end,,,
41,All,,,,,,,,,,,,,,,,,,,,,,Right turn,,,
42,All,,,,,,,,,,,,,,,,,,,,,,Vehicle/bicycle,,,
43,All,,,,,,,,,,,,,,,,,,,,,,Cross median,,,
44,All,,,,,,,,,,,,,,,,,,,,,,Truck related,,,
45,All,,,,,,,,,,,,,,,,,,,,,,Multiple vehicle,,,
46,All,,,,,,,,,,,,,,,,,,,,,,,,,
47,All,,,,,,,,,,,,,,,,,,,,,,,,,
48,All,,,,,,,,,,,,,,,,,,,,,,,,,
49,All,,,,,,,,,,,,,,,,,,,,,,,,,
50,Cross median,,,,,,,,,,,,,,,,,,,,,,,,,
51,All,,,,,,,,,,,,,,,,,,,,,,,,,
52,All,,,,,,,,,,,,,,,,,,,,,,,,,
53,All,,,,,,,,,,,,,,,,,,,,,,,,,
54,Fixed object,,,,,,,,,,,,,,,,,,,,,,,,,
55,Fixed object,,,,,,,,,,,,,,,,,,,,,,,,,
56,Fixed object,,,,,,,,,,,,,,,,,,,,,,,,,
57,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
58,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
59,Run off road,,,,,,,,,,,,,,,,,,,,,,,,,
60,Run off road,Single vehicle,,,,,,,,,,,,,,,,,,,,,,,,
61,All,,,,,,,,,,,,,,,,,,,,,,,,,
62,All,,,,,,,,,,,,,,,,,,,,,,,,,
63,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
64,All,,,,,,,,,,,,,,,,,,,,,,,,,
65,All,,,,,,,,,,,,,,,,,,,,,,,,,
66,All,,,,,,,,,,,,,,,,,,,,,,,,,
67,All,,,,,,,,,,,,,,,,,,,,,,,,,
68,Speed related,,,,,,,,,,,,,,,,,,,,,,,,,
69,Truck related,,,,,,,,,,,,,,,,,,,,,,,,,
70,All,,,,,,,,,,,,,,,,,,,,,,,,,
71,All,,,,,,,,,,,,,,,,,,,,,,,,,
